title,seniority,location,tech_stack,company_size,years_experience,salary
Sales,Lead,London,Python,Mid-Size,12,227361.94
DevOps,Senior,Germany,Java,Mid-Size,0,123270.6
Designer,Principal,London,Javascript,Big Tech,4,301410.22
Sales,Junior,London,Rust,Startup,25,66051.74
Product Manager,Principal,SF,Rust,Big Tech,12,798436.64
HR,Junior,Germany,Go,Startup,24,49595.68
Designer,Mid,SF,C++,Startup,13,135205.71
Designer,Junior,London,Python,Big Tech,23,98604.08
Sales,Lead,Germany,Go,Mid-Size,2,176838.99
Data Scientist,Senior,London,Java,Mid-Size,14,183193.42
Product Manager,Mid,India,Rust,Startup,18,26848.66
Sales,Junior,Germany,Python,Big Tech,16,86111.01
Product Manager,Principal,Germany,Java,Mid-Size,2,226150.65
Product Manager,Mid,London,C++,Mid-Size,15,136530.27
HR,Mid,India,Java,Startup,13,20715.07
Designer,Junior,Remote,Python,Startup,11,54841.06
DevOps,Mid,SF,C++,Big Tech,11,248102.59
HR,Principal,London,Java,Startup,10,188853.26
HR,Mid,Germany,C++,Mid-Size,16,83433.14
Product Manager,Principal,SF,Python,Mid-Size,7,436266.02
QA Engineer,Junior,SF,Python,Mid-Size,16,96774.63
Designer,Senior,SF,C++,Mid-Size,20,245578.14
Data Scientist,Mid,Remote,Javascript,Big Tech,24,186605.04
HR,Senior,New York,Go,Big Tech,22,300784.67
DevOps,Principal,London,Java,Startup,19,257494.84
QA Engineer,Mid,New York,Java,Startup,10,95213.03
QA Engineer,Lead,New York,Javascript,Startup,24,200405.87
Data Scientist,Senior,New York,Javascript,Big Tech,24,321297.24
HR,Mid,SF,Javascript,Mid-Size,1,107323.59
DevOps,Senior,India,Rust,Startup,9,36444.05
Designer,Mid,SF,Rust,Mid-Size,9,156333.44
Software Engineer,Junior,SF,C++,Startup,10,86157.61
DevOps,Senior,Germany,Rust,Startup,5,104074.01
Data Scientist,Lead,Germany,Python,Startup,3,133178.88
QA Engineer,Lead,New York,C++,Startup,23,215358.77
Designer,Principal,SF,Java,Startup,11,306726.25
DevOps,Mid,New York,Go,Mid-Size,10,168750.39
Software Engineer,Senior,Germany,Python,Startup,22,111963.02
Software Engineer,Principal,India,Java,Mid-Size,22,84170.35
Product Manager,Senior,London,Java,Big Tech,25,253378.81
Product Manager,Mid,New York,C++,Startup,24,129912.08
Sales,Lead,India,Javascript,Mid-Size,12,51295.74
Data Scientist,Junior,London,Javascript,Big Tech,4,89212.29
HR,Lead,Remote,Python,Big Tech,5,197592.31
DevOps,Principal,New York,Javascript,Big Tech,0,472585.49
DevOps,Junior,New York,Java,Mid-Size,5,96513.9
HR,Principal,Remote,Javascript,Startup,17,193501.08
Sales,Mid,Remote,Rust,Startup,21,109276.5
QA Engineer,Junior,New York,Javascript,Mid-Size,8,86189.85
QA Engineer,Principal,Remote,Java,Startup,23,217294.74
Sales,Mid,SF,C++,Mid-Size,24,175610.72
QA Engineer,Lead,London,Python,Startup,14,141987.67
Product Manager,Mid,London,Go,Big Tech,25,198899.02
DevOps,Senior,London,Javascript,Startup,7,109814.37
Sales,Mid,SF,Java,Mid-Size,18,180385.87
DevOps,Mid,Remote,Go,Mid-Size,23,148185.33
HR,Senior,India,Go,Big Tech,15,56590.68
Software Engineer,Principal,Remote,Rust,Mid-Size,5,302954.37
Product Manager,Principal,New York,Go,Startup,5,335995.5
Designer,Mid,Germany,C++,Startup,21,86726.84
Product Manager,Senior,London,Java,Big Tech,2,187344.6
Sales,Senior,Remote,Java,Mid-Size,9,168205.25
Designer,Lead,India,Javascript,Big Tech,0,51565.71
Software Engineer,Principal,New York,Javascript,Startup,13,336317.84
Sales,Junior,SF,Javascript,Big Tech,3,124732.99
Data Scientist,Principal,SF,C++,Mid-Size,25,525676.11
DevOps,Principal,India,Go,Big Tech,11,127796.4
Software Engineer,Lead,New York,Go,Mid-Size,5,289553.04
DevOps,Junior,London,Rust,Mid-Size,10,88793.82
QA Engineer,Lead,Remote,C++,Startup,11,165453.91
Data Scientist,Junior,New York,Javascript,Startup,9,72220.94
Data Scientist,Mid,SF,Python,Startup,17,126615.97
Software Engineer,Junior,India,Rust,Mid-Size,6,18620.7
Data Scientist,Lead,India,Python,Big Tech,6,67910.25
Designer,Principal,Remote,Go,Mid-Size,10,334223.54
Data Scientist,Junior,India,Rust,Startup,3,15370.68
DevOps,Junior,India,Rust,Startup,19,18440.45
DevOps,Senior,New York,Java,Big Tech,0,239216.23
Sales,Principal,London,Go,Startup,12,239890.8
DevOps,Mid,Remote,Go,Startup,17,108268.94
Sales,Lead,New York,C++,Startup,8,210960.28
DevOps,Mid,London,Rust,Big Tech,25,205347.48
Designer,Principal,New York,Go,Mid-Size,23,441309.8
HR,Junior,Germany,Rust,Startup,23,53293.53
Sales,Junior,New York,C++,Big Tech,8,136533.86
Product Manager,Principal,India,C++,Startup,22,78556.1
QA Engineer,Junior,London,Java,Big Tech,8,79884.92
Software Engineer,Junior,Remote,Rust,Startup,9,70719.67
DevOps,Junior,Remote,Go,Big Tech,1,111720.27
Data Scientist,Lead,London,Go,Startup,5,164727.99
